idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
1218,519,-34.29732,-60.447,12,30,21.6,1.6,10YR,2,2,NA,NA,NA,91.2037037037037
1224,520,-34.26434,-60.31493,0,8,24.5,2.66,10YR,2,2,NA,NA,NA,84.4897959183673
1225,520,-34.26434,-60.31493,8,26,23.7,1.81,10YR,3,1,NA,NA,NA,84.8101265822785
1230,521,-34.03762,-60.36926,0,13,17.9,1.27,10YR,3,1,NA,NA,NA,82.122905027933
1231,521,-34.03762,-60.36926,13,18,19.8,1.05,10YR,2,1,NA,NA,NA,86.3636363636364
1232,521,-34.03762,-60.36926,18,25,20.9,0.76,10YR,3,2,NA,NA,NA,90.4306220095694
1240,522,-34.24536,-60.38615,0,35,31.1,2.47,10YR,3.5,2,NA,NA,NA,100
1243,523,-34.23602,-60.38972,0,11,20,1.76,10YR,2,2,NA,NA,NA,85.5
1244,523,-34.23602,-60.38972,11,20,18.7,1.37,10YR,2,1,NA,NA,NA,86.096256684492
1245,523,-34.23602,-60.38972,20,30,14.6,0.65,10YR,3,1,NA,NA,NA,83.5616438356164
1251,524,-34.31009,-60.02438,0,28,24,2.25,10YR,2,2,NA,NA,NA,89.5833333333333
1258,525,-34.03509,-59.91537,0,15,29.2,1.84,NA,NA,NA,10YR,3,4,82.8767123287671
1259,525,-34.03509,-59.91537,15,29,30.1,1.08,NA,NA,NA,10YR,3,2,83.3887043189369
1277,526,-34.05902,-59.91943,0,12,25,1.8,10YR,3,2,10YR,4,2,81.2
1278,526,-34.05902,-59.91943,12,21,24.9,1.39,10YR,3,2,NA,NA,NA,84.3373493975904
1279,526,-34.05902,-59.91943,21,35,30.6,1.1,10YR,3,4,NA,NA,NA,84.640522875817
1271,528,-34.0313,-60.11648,0,18,26.1,2.02,10YR,3,1,10YR,5,2,95.0191570881226
1272,528,-34.0313,-60.11648,18,24,27.9,1.33,10YR,3,1,10YR,3,2,95.3405017921147
1284,529,-34.07308,-59.9163,0,33,17.8,0.87,NA,NA,NA,NA,NA,NA,100
1289,530,-34.12193,-59.75893,0,10,23.4,1.91,10YR,3,2,10YR,4,2,77.7777777777778
